Item Number,Description,Size 1,Size 2,Store,Dept.,Category,SubCat,Vendor,Order Number,OnHand,OnOrder,Layaway,Committed,Cost,PriceUnits,Price,YTD Sales,OrdPt,OrdUp2,LastSale,G/L,Bin Location
820,Symphony tee s/s,L,WHITE,1,1,2,!Undefined,369,COMFORT COLORS,0,0,0,0,12.25,1,26.5,0,0,0,0,120010,
820,Symphony tee s/s,M,TAN,1,1,2,!Undefined,369,COMFORT COLORS,1,0,0,0,12.25,1,26.5,28.45,0,0,20150803,120010,
820,Symphony tee s/s,M,WHITE,1,1,2,!Undefined,369,COMFORT COLORS,0,0,0,0,12.25,1,26.5,0,0,0,0,120010,
820,Symphony tee s/s,S,TAN,1,1,2,!Undefined,369,COMFORT COLORS,3,0,0,0,12.25,1,26.5,0,0,0,20140818,120010,
820,Symphony tee s/s,S,WHITE,1,1,2,!Undefined,369,COMFORT COLORS,0,0,0,0,12.25,1,26.5,0,0,0,0,120010,
820,Symphony tee s/s,XL,TAN,1,1,2,!Undefined,369,COMFORT COLORS,-1,0,0,0,12.25,1,26.5,39,0,0,20150904,120010,
820,Symphony tee s/s,XL,WHITE,1,1,2,!Undefined,369,COMFORT COLORS,0,0,0,0,12.25,1,26.5,0,0,0,0,120010,
821,2014 National Consultant Spitit Jersey,L,BLUE,1,7,!Undefined,!Undefined,310,NAVY W/HOT PINK INK,0,0,0,0,25.75,1,38,266,0,0,20150116,120010,
821,2014 National Consultant Spitit Jersey,M,BLUE,1,7,!Undefined,!Undefined,310,NAVY W/HOT PINK INK,0,0,0,0,25.75,1,38,114,0,0,20150210,120010,
821,2014 National Consultant Spitit Jersey,S,BLUE,1,7,!Undefined,!Undefined,310,NAVY W/HOT PINK INK,0,0,0,0,25.75,1,38,38,0,0,20141218,120010,
822,"Preppy Stripe Bangle - 8""",,,1,4,!Undefined,!Undefined,416,37973,0,0,0,0,4,1,12,54,0,0,20150623,120010,
823,Custom Texas Tee for Sigma Zeta,L,GREEN,1,7,!Undefined,!Undefined,260,823,0,0,0,0,9.25,1,12,0,0,0,20120824,120010,
823,Custom Texas Tee for Sigma Zeta,M,GREEN,1,7,!Undefined,!Undefined,260,823,0,0,0,0,9.25,1,12,0,0,0,20120824,120010,
823,Custom Texas Tee for Sigma Zeta,S,GREEN,1,7,!Undefined,!Undefined,260,823,0,0,0,0,9.25,1,12,0,0,0,20120824,120010,
824,Ritual Education Team button,,,1,7,!Undefined,!Undefined,260,824,0,0,0,0,0.45,1,0.57,0,0,0,20140829,120010,
825,Sorority pens,,,1,2,!Undefined,!Undefined,4,AA1074,252,0,0,0,0.88,1,2,175.8,0,0,20150820,120010,
825B,Foundation owl pen,,,1,7,!Undefined,!Undefined,4,825B,-45,0,0,0,0.88,1,1.1,0,0,0,20140918,120010,
826,Vegan Leather Phone Case - 5,,,1,3,!Undefined,!Undefined,324,PCV018,3,0,0,0,13,1,29,0,0,0,20140703,120010,
